path,new_h,orig_h,i,rmse,d0,d1,di,0.001,0.005,0.01,0.02,0.03,0.05,0.1
val/traditional/judge/000272.npy,0,1,12,1.432,0.228,0.072,0.237,0.969,0.847,0.636,0.0,0.0,0.0,0.0
val/traditional/judge/001298.npy,0,0,29,2.574,0.192,0.796,0.388,0.973,0.861,0.716,0.438,0.051,0.0,0.0
val/traditional/judge/004159.npy,0,1,9,1.147,0.156,0.062,0.177,0.876,0.592,0.0,0.0,0.0,0.0,0.0
val/traditional/judge/004073.npy,1,0,7,0.714,0.455,0.584,0.594,0.93,0.745,0.0,0.0,0.0,0.0,0.0
val/traditional/judge/002926.npy,0,1,11,1.404,0.482,0.266,0.497,0.948,0.824,0.639,0.0,0.0,0.0,0.0
val/traditional/judge/003544.npy,1,1,29,2.899,0.553,0.064,0.317,0.983,0.907,0.807,0.604,0.121,0.0,0.0
val/traditional/judge/002057.npy,1,0,2,0.647,0.306,0.326,0.33,0.841,0.0,0.0,0.0,0.0,0.0,0.0
val/traditional/judge/001470.npy,1,1,29,2.56,0.351,0.019,0.337,0.973,0.866,0.706,0.415,0.008,0.0,0.0
val/traditional/judge/002685.npy,0,1,3,0.709,0.059,0.037,0.061,0.946,0.0,0.0,0.0,0.0,0.0,0.0
val/traditional/judge/000860.npy,1,0,9,1.302,0.106,0.263,0.276,0.957,0.764,0.0,0.0,0.0,0.0,0.0
val/traditional/judge/002083.npy,0,1,7,0.709,0.032,0.011,0.032,0.924,0.688,0.0,0.0,0.0,0.0,0.0
val/traditional/judge/004092.npy,1,0,7,0.709,0.032,0.09,0.099,0.939,0.797,0.0,0.0,0.0,0.0,0.0
val/traditional/judge/004043.npy,0,1,5,0.719,0.344,0.223,0.346,0.856,0.0,0.0,0.0,0.0,0.0,0.0
val/traditional/judge/000161.npy,0,1,2,0.611,0.003,0.001,0.005,0.741,0.0,0.0,0.0,0.0,0.0,0.0
val/traditional/judge/004418.npy,0,1,3,0.708,0.061,0.05,0.066,0.921,0.0,0.0,0.0,0.0,0.0,0.0
val/traditional/judge/001911.npy,1,1,29,1.635,0.162,0.119,0.145,0.587,0.365,0.212,0.076,0.0,0.0,0.0
val/traditional/judge/001035.npy,0,0,29,2.831,0.096,0.727,0.305,0.98,0.902,0.795,0.58,0.11,0.0,0.0
val/traditional/judge/000672.npy,1,0,8,1.279,0.034,0.142,0.145,0.952,0.721,0.0,0.0,0.0,0.0,0.0
val/traditional/judge/002982.npy,1,0,1,0.721,0.023,0.025,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val/traditional/judge/002906.npy,1,1,29,2.343,0.424,0.066,0.362,0.963,0.83,0.661,0.337,0.038,0.0,0.0
val/traditional/judge/002164.npy,0,0,29,2.741,0.068,0.287,0.258,0.977,0.886,0.75,0.508,0.032,0.0,0.0
val/traditional/judge/000589.npy,0,0,29,2.716,0.153,0.405,0.36,0.978,0.888,0.733,0.48,0.03,0.0,0.0
val/traditional/judge/003921.npy,1,0,25,2.921,0.156,0.502,0.503,0.973,0.914,0.837,0.66,0.0,0.0,0.0
val/traditional/judge/003128.npy,0,1,27,2.471,0.26,0.017,0.261,0.969,0.857,0.719,0.43,0.0,0.0,0.0
val/traditional/judge/002651.npy,0,1,1,0.71,0.065,0.061,0.065,0.273,0.0,0.0,0.0,0.0,0.0,0.0
val/traditional/judge/001783.npy,0,1,19,2.107,0.296,0.028,0.298,0.954,0.864,0.76,0.0,0.0,0.0,0.0
val/traditional/judge/002093.npy,1,0,15,1.343,0.161,0.519,0.535,0.941,0.767,0.562,0.0,0.0,0.0,0.0
val/traditional/judge/004143.npy,0,1,14,1.419,0.142,0.016,0.154,0.969,0.834,0.566,0.0,0.0,0.0,0.0
val/traditional/judge/003533.npy,1,1,29,2.831,0.35,0.1,0.331,0.976,0.899,0.773,0.549,0.043,0.0,0.0
val/traditional/judge/000430.npy,0,1,7,0.706,0.145,0.097,0.146,0.929,0.731,0.0,0.0,0.0,0.0,0.0
val/traditional/judge/002822.npy,1,1,29,2.863,0.609,0.083,0.366,0.979,0.902,0.79,0.565,0.043,0.0,0.0
val/traditional/judge/003990.npy,1,1,29,2.659,0.601,0.032,0.518,0.975,0.872,0.72,0.455,0.0,0.0,0.0
val/traditional/judge/000040.npy,1,0,4,0.677,0.053,0.079,0.087,0.906,0.0,0.0,0.0,0.0,0.0,0.0
val/traditional/judge/000386.npy,1,0,13,1.456,0.014,0.277,0.282,0.974,0.876,0.735,0.0,0.0,0.0,0.0
val/traditional/judge/004128.npy,1,0,1,0.711,0.131,0.148,0.148,0.321,0.0,0.0,0.0,0.0,0.0,0.0
val/traditional/judge/002098.npy,1,0,7,0.717,0.515,0.61,0.62,0.832,0.536,0.0,0.0,0.0,0.0,0.0
val/traditional/judge/002333.npy,0,0,29,1.892,0.185,0.471,0.336,0.743,0.622,0.486,0.273,0.016,0.0,0.0
val/traditional/judge/003426.npy,1,0,8,0.915,0.641,0.705,0.708,0.872,0.402,0.0,0.0,0.0,0.0,0.0
val/traditional/judge/001020.npy,1,0,8,1.402,0.041,0.147,0.163,0.963,0.817,0.0,0.0,0.0,0.0,0.0
val/traditional/judge/000859.npy,1,0,20,1.989,0.028,0.194,0.198,0.966,0.832,0.646,0.093,0.0,0.0,0.0
val/traditional/judge/002202.npy,1,0,8,1.439,0.029,0.117,0.12,0.98,0.867,0.0,0.0,0.0,0.0,0.0
val/traditional/judge/004212.npy,1,1,29,2.562,0.387,0.04,0.332,0.973,0.869,0.706,0.387,0.014,0.0,0.0
val/traditional/judge/000094.npy,1,0,19,2.145,0.048,0.105,0.107,0.963,0.874,0.77,0.0,0.0,0.0,0.0
val/traditional/judge/002706.npy,1,0,13,1.39,0.019,0.072,0.074,0.934,0.799,0.639,0.0,0.0,0.0,0.0
val/traditional/judge/002550.npy,0,1,6,0.687,0.14,0.092,0.148,0.923,0.59,0.0,0.0,0.0,0.0,0.0
val/traditional/judge/003594.npy,1,1,29,2.977,0.474,0.087,0.212,0.939,0.884,0.801,0.649,0.068,0.0,0.0
val/traditional/judge/002102.npy,1,0,10,1.422,0.152,0.393,0.413,0.965,0.841,0.367,0.0,0.0,0.0,0.0
val/traditional/judge/001940.npy,1,0,21,1.422,0.036,0.167,0.174,0.875,0.609,0.376,0.037,0.0,0.0,0.0
val/traditional/judge/002017.npy,1,1,29,2.856,0.648,0.134,0.246,0.979,0.9,0.786,0.582,0.062,0.0,0.0
val/traditional/judge/000649.npy,0,1,8,1.259,0.216,0.119,0.227,0.939,0.694,0.0,0.0,0.0,0.0,0.0
val/traditional/judge/003027.npy,1,0,13,1.362,0.022,0.223,0.241,0.913,0.753,0.58,0.0,0.0,0.0,0.0
val/traditional/judge/001031.npy,0,0,29,2.757,0.022,0.374,0.346,0.978,0.889,0.756,0.508,0.006,0.0,0.0
val/traditional/judge/004254.npy,1,0,2,0.657,0.09,0.096,0.097,0.869,0.0,0.0,0.0,0.0,0.0,0.0
val/traditional/judge/004499.npy,1,0,28,2.935,0.043,0.309,0.313,0.967,0.9,0.806,0.618,0.0,0.0,0.0
val/traditional/judge/000461.npy,0,1,4,0.694,0.011,0.005,0.012,0.955,0.0,0.0,0.0,0.0,0.0,0.0
val/traditional/judge/004176.npy,0,1,14,1.499,0.582,0.382,0.586,0.98,0.901,0.779,0.0,0.0,0.0,0.0
val/traditional/judge/001317.npy,1,0,18,2.043,0.28,0.38,0.38,0.969,0.856,0.677,0.0,0.0,0.0,0.0
val/traditional/judge/000358.npy,1,1,29,1.928,0.462,0.046,0.243,0.948,0.748,0.481,0.152,0.003,0.0,0.0
val/traditional/judge/003817.npy,1,0,12,1.377,0.317,0.444,0.451,0.956,0.8,0.558,0.0,0.0,0.0,0.0
val/traditional/judge/004104.npy,0,1,6,0.69,0.168,0.131,0.175,0.942,0.724,0.0,0.0,0.0,0.0,0.0
val/traditional/judge/004051.npy,1,0,6,0.687,0.095,0.123,0.125,0.936,0.605,0.0,0.0,0.0,0.0,0.0
val/traditional/judge/003882.npy,0,1,5,0.708,0.064,0.045,0.068,0.936,0.198,0.0,0.0,0.0,0.0,0.0
val/traditional/judge/002264.npy,0,1,7,0.716,0.158,0.034,0.176,0.829,0.38,0.0,0.0,0.0,0.0,0.0
val/traditional/judge/003653.npy,0,1,1,0.699,0.084,0.082,0.086,0.277,0.0,0.0,0.0,0.0,0.0,0.0
val/traditional/judge/000717.npy,0,1,22,2.125,0.198,0.084,0.2,0.976,0.874,0.725,0.38,0.0,0.0,0.0
val/traditional/judge/002673.npy,0,0,29,2.929,0.054,0.555,0.483,0.983,0.911,0.798,0.607,0.03,0.0,0.0
val/traditional/judge/003839.npy,0,1,14,1.468,0.177,0.025,0.182,0.972,0.871,0.726,0.0,0.0,0.0,0.0
val/traditional/judge/004089.npy,1,1,29,2.465,0.712,0.159,0.514,0.967,0.836,0.69,0.403,0.086,0.0,0.0
val/traditional/judge/000539.npy,1,0,24,2.654,0.105,0.237,0.24,0.96,0.874,0.739,0.475,0.0,0.0,0.0
val/traditional/judge/002772.npy,1,0,10,1.348,0.008,0.083,0.085,0.958,0.776,0.204,0.0,0.0,0.0,0.0
val/traditional/judge/003920.npy,0,0,29,3.005,0.034,0.678,0.35,0.983,0.923,0.839,0.664,0.107,0.0,0.0
val/traditional/judge/002126.npy,1,0,7,0.715,0.176,0.278,0.288,0.951,0.822,0.0,0.0,0.0,0.0,0.0
val/traditional/judge/002929.npy,0,1,28,2.023,0.322,0.054,0.328,0.951,0.766,0.531,0.203,0.0,0.0,0.0
val/traditional/judge/001131.npy,1,0,9,1.433,0.284,0.411,0.418,0.969,0.865,0.0,0.0,0.0,0.0,0.0
val/traditional/judge/003747.npy,1,0,1,0.716,0.1,0.101,0.108,0.231,0.0,0.0,0.0,0.0,0.0,0.0
val/traditional/judge/001140.npy,1,0,17,1.652,0.14,0.274,0.277,0.927,0.757,0.552,0.0,0.0,0.0,0.0
val/traditional/judge/000054.npy,1,1,29,2.797,0.337,0.068,0.281,0.98,0.897,0.787,0.562,0.1,0.0,0.0
val/traditional/judge/001410.npy,1,0,7,0.706,0.112,0.146,0.148,0.931,0.726,0.0,0.0,0.0,0.0,0.0
val/traditional/judge/000222.npy,0,1,7,0.705,0.252,0.179,0.264,0.943,0.773,0.0,0.0,0.0,0.0,0.0
val/traditional/judge/000172.npy,1,0,8,1.443,0.064,0.133,0.143,0.979,0.868,0.0,0.0,0.0,0.0,0.0
val/traditional/judge/000420.npy,1,0,10,1.425,0.324,0.465,0.476,0.969,0.844,0.142,0.0,0.0,0.0,0.0
val/traditional/judge/001688.npy,1,0,11,1.438,0.134,0.308,0.317,0.966,0.866,0.712,0.0,0.0,0.0,0.0
val/traditional/judge/002507.npy,1,0,4,0.692,0.249,0.29,0.292,0.926,0.0,0.0,0.0,0.0,0.0,0.0
val/traditional/judge/000408.npy,0,1,20,2.032,0.399,0.137,0.41,0.93,0.819,0.642,0.04,0.0,0.0,0.0
val/traditional/judge/004462.npy,1,1,29,2.57,0.872,0.1,0.488,0.97,0.85,0.697,0.438,0.06,0.0,0.0
val/traditional/judge/001494.npy,1,0,20,2.245,0.032,0.207,0.212,0.981,0.904,0.792,0.125,0.0,0.0,0.0
val/traditional/judge/001340.npy,0,1,27,2.391,0.273,0.127,0.273,0.934,0.816,0.687,0.398,0.0,0.0,0.0
val/traditional/judge/000512.npy,0,1,4,0.68,0.127,0.098,0.132,0.929,0.0,0.0,0.0,0.0,0.0,0.0
val/traditional/judge/003558.npy,0,0,29,2.392,0.086,0.652,0.286,0.968,0.829,0.652,0.362,0.045,0.0,0.0
val/traditional/judge/000984.npy,0,0,29,2.831,0.072,0.664,0.295,0.979,0.897,0.787,0.56,0.097,0.0,0.0
val/traditional/judge/002921.npy,0,1,1,0.714,0.067,0.051,0.073,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val/traditional/judge/001684.npy,0,1,6,0.67,0.094,0.053,0.096,0.928,0.641,0.0,0.0,0.0,0.0,0.0
val/traditional/judge/001304.npy,0,1,14,1.468,0.115,0.027,0.117,0.976,0.874,0.708,0.0,0.0,0.0,0.0
val/traditional/judge/003272.npy,1,0,7,0.71,0.015,0.103,0.118,0.89,0.617,0.0,0.0,0.0,0.0,0.0
val/traditional/judge/003622.npy,1,0,15,1.407,0.015,0.197,0.201,0.945,0.819,0.663,0.0,0.0,0.0,0.0
val/traditional/judge/000173.npy,1,0,4,0.666,0.03,0.037,0.039,0.91,0.0,0.0,0.0,0.0,0.0,0.0
val/traditional/judge/000965.npy,0,1,6,0.704,0.198,0.155,0.202,0.952,0.826,0.0,0.0,0.0,0.0,0.0
val/traditional/judge/002868.npy,0,1,3,0.714,0.258,0.196,0.26,0.849,0.0,0.0,0.0,0.0,0.0,0.0
val/traditional/judge/003996.npy,0,0,29,2.796,0.058,0.541,0.177,0.96,0.879,0.762,0.555,0.055,0.0,0.0
val/traditional/judge/003626.npy,1,0,19,2.1,0.029,0.134,0.136,0.971,0.871,0.743,0.0,0.0,0.0,0.0
val/traditional/judge/002316.npy,0,1,19,1.709,0.39,0.104,0.4,0.936,0.753,0.546,0.0,0.0,0.0,0.0
val/traditional/judge/001984.npy,0,1,1,0.712,0.091,0.09,0.099,0.244,0.0,0.0,0.0,0.0,0.0,0.0
val/traditional/judge/000703.npy,1,1,29,2.542,0.559,0.217,0.343,0.969,0.854,0.704,0.419,0.043,0.0,0.0
val/traditional/judge/000345.npy,1,0,8,1.375,0.069,0.151,0.156,0.959,0.793,0.0,0.0,0.0,0.0,0.0
val/traditional/judge/001485.npy,0,0,29,2.974,0.086,0.504,0.322,0.983,0.924,0.828,0.643,0.058,0.0,0.0
val/traditional/judge/002633.npy,0,0,29,2.643,0.073,0.26,0.21,0.969,0.867,0.726,0.46,0.054,0.0,0.0
val/traditional/judge/004111.npy,1,1,29,2.637,0.691,0.115,0.298,0.974,0.868,0.724,0.466,0.044,0.0,0.0
val/traditional/judge/000365.npy,0,0,29,2.647,0.065,0.307,0.303,0.93,0.83,0.696,0.467,0.049,0.0,0.0
val/traditional/judge/001419.npy,0,1,14,1.287,0.208,0.099,0.218,0.94,0.714,0.396,0.0,0.0,0.0,0.0
val/traditional/judge/000690.npy,0,1,13,1.334,0.15,0.052,0.158,0.936,0.75,0.528,0.0,0.0,0.0,0.0
val/traditional/judge/001919.npy,0,1,1,0.717,0.145,0.136,0.161,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val/traditional/judge/000564.npy,1,0,4,0.697,0.06,0.074,0.074,0.921,0.0,0.0,0.0,0.0,0.0,0.0
val/traditional/judge/000347.npy,0,0,29,2.872,0.041,0.429,0.365,0.98,0.902,0.794,0.581,0.035,0.0,0.0
val/traditional/judge/002518.npy,1,0,12,1.45,0.029,0.18,0.192,0.971,0.874,0.711,0.0,0.0,0.0,0.0
val/traditional/judge/003482.npy,1,1,29,2.805,0.646,0.054,0.398,0.978,0.894,0.779,0.549,0.056,0.0,0.0
val/traditional/judge/000710.npy,0,1,14,1.346,0.201,0.06,0.208,0.957,0.773,0.494,0.0,0.0,0.0,0.0
val/traditional/judge/000263.npy,1,1,29,2.591,0.411,0.023,0.337,0.927,0.839,0.701,0.46,0.028,0.0,0.0
val/traditional/judge/002166.npy,1,0,10,1.389,0.073,0.179,0.182,0.962,0.816,0.144,0.0,0.0,0.0,0.0
val/traditional/judge/003077.npy,0,0,29,2.67,0.044,0.417,0.345,0.976,0.875,0.739,0.483,0.05,0.0,0.0
val/traditional/judge/000853.npy,0,1,5,0.7,0.205,0.162,0.211,0.851,0.082,0.0,0.0,0.0,0.0,0.0
val/traditional/judge/002879.npy,0,1,14,1.374,0.077,0.003,0.082,0.958,0.794,0.559,0.0,0.0,0.0,0.0
val/traditional/judge/003446.npy,0,1,20,2.063,0.422,0.059,0.423,0.972,0.857,0.687,0.085,0.0,0.0,0.0
val/traditional/judge/003651.npy,0,0,29,3.016,0.056,0.646,0.224,0.983,0.914,0.828,0.672,0.112,0.0,0.0
val/traditional/judge/003002.npy,1,0,6,0.681,0.189,0.235,0.235,0.904,0.681,0.0,0.0,0.0,0.0,0.0
val/traditional/judge/001862.npy,1,0,20,2.098,0.024,0.247,0.264,0.973,0.87,0.706,0.042,0.0,0.0,0.0
val/traditional/judge/003084.npy,0,0,29,3.026,0.001,0.297,0.168,0.985,0.923,0.843,0.674,0.139,0.0,0.0
val/traditional/judge/003752.npy,0,1,4,0.701,0.163,0.109,0.165,0.967,0.0,0.0,0.0,0.0,0.0,0.0
val/traditional/judge/002300.npy,0,1,11,1.33,0.157,0.038,0.171,0.924,0.75,0.506,0.0,0.0,0.0,0.0
val/traditional/judge/000917.npy,1,1,29,2.794,0.894,0.104,0.304,0.978,0.889,0.76,0.532,0.031,0.0,0.0
val/traditional/judge/004669.npy,1,0,1,0.714,0.049,0.049,0.055,0.145,0.0,0.0,0.0,0.0,0.0,0.0
val/traditional/judge/002040.npy,1,1,29,2.489,0.611,0.025,0.41,0.968,0.846,0.673,0.379,0.004,0.0,0.0
val/traditional/judge/000655.npy,1,0,20,2.061,0.267,0.697,0.713,0.972,0.854,0.68,0.077,0.0,0.0,0.0
val/traditional/judge/001563.npy,1,0,26,2.654,0.092,0.271,0.276,0.977,0.874,0.731,0.456,0.0,0.0,0.0
val/traditional/judge/001947.npy,1,0,8,1.403,0.204,0.33,0.332,0.968,0.83,0.0,0.0,0.0,0.0,0.0
val/traditional/judge/003226.npy,0,1,14,1.228,0.083,0.005,0.089,0.844,0.699,0.464,0.0,0.0,0.0,0.0
val/traditional/judge/004291.npy,0,0,29,2.498,0.039,0.705,0.329,0.97,0.853,0.674,0.379,0.005,0.0,0.0
val/traditional/judge/002423.npy,1,0,17,2.018,0.204,0.531,0.535,0.944,0.839,0.719,0.0,0.0,0.0,0.0
val/traditional/judge/002424.npy,0,1,7,0.703,0.115,0.065,0.118,0.973,0.843,0.0,0.0,0.0,0.0,0.0
val/traditional/judge/001424.npy,1,0,18,2.01,0.137,0.36,0.371,0.969,0.846,0.672,0.0,0.0,0.0,0.0
val/traditional/judge/002531.npy,1,1,29,2.756,0.3,0.076,0.277,0.978,0.885,0.761,0.528,0.089,0.0,0.0
val/traditional/judge/001797.npy,1,1,29,2.977,0.431,0.011,0.081,0.978,0.922,0.831,0.637,0.062,0.0,0.0
val/traditional/judge/003056.npy,1,0,20,1.742,0.383,0.587,0.595,0.952,0.771,0.516,0.033,0.0,0.0,0.0
val/traditional/judge/004512.npy,0,1,19,2.235,0.101,0.021,0.102,0.974,0.913,0.83,0.0,0.0,0.0,0.0
val/traditional/judge/002759.npy,1,1,29,2.514,0.759,0.27,0.417,0.835,0.757,0.644,0.468,0.022,0.0,0.0
val/traditional/judge/000350.npy,1,0,12,1.389,0.082,0.278,0.285,0.958,0.799,0.548,0.0,0.0,0.0,0.0
val/traditional/judge/000388.npy,0,0,29,2.878,0.01,0.767,0.362,0.982,0.912,0.816,0.596,0.101,0.0,0.0
val/traditional/judge/000506.npy,0,1,27,2.282,0.342,0.051,0.353,0.959,0.838,0.69,0.353,0.0,0.0,0.0
val/traditional/judge/001808.npy,0,1,22,2.262,0.177,0.011,0.189,0.982,0.911,0.809,0.555,0.0,0.0,0.0
val/traditional/judge/003688.npy,1,1,29,2.872,0.625,0.107,0.282,0.966,0.896,0.786,0.592,0.083,0.0,0.0
val/traditional/judge/001738.npy,1,0,2,0.677,0.079,0.095,0.098,0.911,0.0,0.0,0.0,0.0,0.0,0.0
val/traditional/judge/002662.npy,0,1,4,0.643,0.07,0.025,0.078,0.797,0.0,0.0,0.0,0.0,0.0,0.0
val/traditional/judge/004408.npy,1,0,13,1.296,0.113,0.199,0.206,0.914,0.71,0.461,0.0,0.0,0.0,0.0
val/traditional/judge/000015.npy,0,1,3,0.706,0.072,0.048,0.081,0.951,0.0,0.0,0.0,0.0,0.0,0.0
val/traditional/judge/002837.npy,1,1,29,2.577,0.564,0.1,0.266,0.967,0.857,0.703,0.428,0.016,0.0,0.0
val/traditional/judge/003176.npy,1,0,5,0.687,0.044,0.075,0.077,0.904,0.121,0.0,0.0,0.0,0.0,0.0
val/traditional/judge/004215.npy,0,0,29,3.0,0.058,0.429,0.221,0.976,0.917,0.829,0.668,0.116,0.0,0.0
val/traditional/judge/003144.npy,0,0,29,2.832,0.21,0.662,0.416,0.957,0.882,0.764,0.561,0.066,0.0,0.0
val/traditional/judge/000236.npy,0,1,18,1.875,0.225,0.039,0.229,0.962,0.81,0.624,0.0,0.0,0.0,0.0
val/traditional/judge/003915.npy,0,1,12,1.383,0.09,0.036,0.091,0.961,0.795,0.539,0.0,0.0,0.0,0.0
val/traditional/judge/002128.npy,0,1,18,1.586,0.199,0.04,0.202,0.938,0.71,0.415,0.0,0.0,0.0,0.0
val/traditional/judge/000270.npy,0,1,3,0.701,0.044,0.034,0.045,0.876,0.0,0.0,0.0,0.0,0.0,0.0
val/traditional/judge/002394.npy,1,0,1,0.699,0.12,0.12,0.126,0.266,0.0,0.0,0.0,0.0,0.0,0.0
val/traditional/judge/002789.npy,0,1,11,1.386,0.061,0.009,0.067,0.938,0.813,0.6,0.0,0.0,0.0,0.0
val/traditional/judge/002112.npy,1,1,29,2.878,0.592,0.21,0.516,0.968,0.89,0.776,0.581,0.051,0.0,0.0
val/traditional/judge/004635.npy,0,1,10,1.174,0.652,0.255,0.682,0.927,0.619,0.198,0.0,0.0,0.0,0.0
val/traditional/judge/000929.npy,0,1,23,1.961,0.236,0.051,0.241,0.948,0.813,0.665,0.302,0.0,0.0,0.0
val/traditional/judge/000676.npy,0,0,29,2.536,0.182,0.688,0.361,0.928,0.815,0.668,0.416,0.038,0.0,0.0
val/traditional/judge/002828.npy,0,0,29,2.86,0.044,0.294,0.283,0.98,0.904,0.794,0.58,0.071,0.0,0.0
val/traditional/judge/000977.npy,0,1,12,1.386,0.154,0.045,0.161,0.963,0.803,0.539,0.0,0.0,0.0,0.0
val/traditional/judge/001033.npy,0,0,29,2.759,0.027,0.482,0.302,0.978,0.883,0.753,0.506,0.046,0.0,0.0
val/traditional/judge/003900.npy,0,1,21,2.006,0.188,0.043,0.189,0.917,0.806,0.685,0.351,0.0,0.0,0.0
val/traditional/judge/000378.npy,0,1,3,0.71,0.062,0.023,0.068,0.787,0.0,0.0,0.0,0.0,0.0,0.0
val/traditional/judge/002030.npy,1,0,10,1.398,0.062,0.122,0.129,0.966,0.82,0.286,0.0,0.0,0.0,0.0
val/traditional/judge/004668.npy,1,0,5,0.721,0.409,0.461,0.465,0.676,0.0,0.0,0.0,0.0,0.0,0.0
val/traditional/judge/002987.npy,1,1,29,2.766,0.567,0.006,0.491,0.974,0.885,0.749,0.516,0.004,0.0,0.0
